component,function,endpoint,method,db_table,access_mode,retention,owner,status
Identity Theft Protection,stop_monitoring_api_identity_theft_stop_monitoring_post,/api/identity-theft/stop-monitoring,POST,TBD,RW,TBD,backend-unknown,unmapped
IoT,block_iot_device_api_iot_device__deviceId__block_post,/api/iot/device/{deviceId}/block,POST,TBD,RW,TBD,backend-unknown,unmapped
IoT,get_iot_devices_api_iot_devices__homeId__get,/api/iot/devices/{homeId},GET,TBD,RO,TBD,backend-unknown,unmapped
IoT,fix_iot_threat_api_iot_fix__threatId__post,/api/iot/fix/{threatId},POST,TBD,RW,TBD,backend-unknown,unmapped
IoT,start_iot_scan_api_iot_scan__homeId__post,/api/iot/scan/{homeId},POST,TBD,RW,TBD,backend-unknown,unmapped
IoT,get_iot_status_api_iot_status__homeId__get,/api/iot/status/{homeId},GET,TBD,RO,TBD,backend-unknown,unmapped
IoT,get_iot_threats_api_iot_threats__homeId__get,/api/iot/threats/{homeId},GET,TBD,RO,TBD,backend-unknown,unmapped
Location Bubble,get_bubble_location_api_location_bubble_post,/api/location/bubble,POST,TBD,RW,TBD,backend-unknown,unmapped
Location Bubble,health_check_api_location_bubble_health_get,/api/location/bubble/health,GET,TBD,RO,TBD,backend-unknown,unmapped
Location Bubble,get_generation_history_api_location_bubble_history_get,/api/location/bubble/history,GET,TBD,RO,TBD,backend-unknown,unmapped
Location Bubble,get_person_settings_api_location_bubble_settings_get,/api/location/bubble/settings,GET,TBD,RO,TBD,backend-unknown,unmapped
Location Bubble,set_person_settings_api_location_bubble_settings_post,/api/location/bubble/settings,POST,TBD,RW,TBD,backend-unknown,unmapped
Location Bubble,get_all_person_settings_api_location_bubble_settings_all_get,/api/location/bubble/settings/all,GET,TBD,RO,TBD,backend-unknown,unmapped
misc-other-compat,location_geofences_api_location_geofences_get,/api/location/geofences,GET,TBD,RO,TBD,backend-unknown,unmapped
Other Functions,sync_location_geofences_api_location_geofences_sync_post,/api/location/geofences/sync,POST,TBD,RW,TBD,backend-unknown,unmapped
Other Functions,update_location_geofence_api_location_geofences_update_post,/api/location/geofences/update,POST,TBD,RW,TBD,backend-unknown,unmapped
Other Functions,delete_location_geofence_api_location_geofences__geofenceId__delete,/api/location/geofences/{geofenceId},DELETE,TBD,RW,TBD,backend-unknown,unmapped
Other Functions,get_movement_history_api_location_movement_history_get,/api/location/movement-history,GET,TBD,RO,TBD,backend-unknown,unmapped
Other Functions,update_movement_history_api_location_movement_history_update_post,/api/location/movement-history/update,POST,TBD,RW,TBD,backend-unknown,unmapped
Other Functions,get_location_status_api_location_status_get,/api/location/status,GET,TBD,RO,TBD,backend-unknown,unmapped
Other Functions,update_location_status_api_location_status_update_post,/api/location/status/update,POST,TBD,RW,TBD,backend-unknown,unmapped
misc-other-compat,malware_quarantine_action_api_malware_quarantine_action_get,/api/malware/quarantine/action,GET,TBD,RO,TBD,backend-unknown,unmapped
misc-other-compat,malware_threats_api_malware_threats_get,/api/malware/threats,GET,TBD,RO,TBD,backend-unknown,unmapped
Metrics,upload_metrics_api_metrics_upload_post,/api/metrics/upload,POST,TBD,RW,TBD,backend-unknown,unmapped
network-protection-compat,network_protection_config_api_network_protection_config_get,/api/network-protection/config,GET,TBD,RO,TBD,backend-unknown,unmapped
network-protection-compat,network_protection_connect_api_network_protection_connect_get,/api/network-protection/connect,GET,TBD,RO,TBD,backend-unknown,unmapped
network-protection-compat,network_protection_disconnect_api_network_protection_disconnect_get,/api/network-protection/disconnect,GET,TBD,RO,TBD,backend-unknown,unmapped
network-protection-compat,network_protection_servers_api_network_protection_servers_get,/api/network-protection/servers,GET,TBD,RO,TBD,backend-unknown,unmapped
network-protection-compat,network_protection_settings_api_network_protection_settings_get,/api/network-protection/settings,GET,TBD,RO,TBD,backend-unknown,unmapped
network-protection-compat,patch_network_protection_settings_api_network_protection_settings_patch,/api/network-protection/settings,PATCH,TBD,RW,TBD,backend-unknown,unmapped
network-protection-compat,network_protection_stats_api_network_protection_stats_get,/api/network-protection/stats,GET,TBD,RO,TBD,backend-unknown,unmapped
network-protection-compat,network_protection_status_api_network_protection_status_get,/api/network-protection/status,GET,TBD,RO,TBD,backend-unknown,unmapped
Notifications,list_notifications_api_notifications_get,/api/notifications,GET,TBD,RO,TBD,backend-unknown,unmapped
notifications-compat,notifications_archive_api_notifications_archive_get,/api/notifications/archive,GET,TBD,RO,TBD,backend-unknown,unmapped
notifications-compat,notifications_bulk_mark_read_api_notifications_bulk_mark_read_get,/api/notifications/bulk-mark-read,GET,TBD,RO,TBD,backend-unknown,unmapped
notifications-compat,notifications_categories_api_notifications_categories_get,/api/notifications/categories,GET,TBD,RO,TBD,backend-unknown,unmapped
Notifications,mark_notification_read_api_notifications_read_post,/api/notifications/read,POST,TBD,RW,TBD,backend-unknown,unmapped
notifications-compat,notifications_stats_api_notifications_stats_get,/api/notifications/stats,GET,TBD,RO,TBD,backend-unknown,unmapped
Offline Storage,get_offline_data_api_offline_storage_data_get,/api/offline-storage/data,GET,TBD,RO,TBD,backend-unknown,unmapped
Offline Storage,update_offline_data_api_offline_storage_data_update_post,/api/offline-storage/data/update,POST,TBD,RW,TBD,backend-unknown,unmapped
Offline Storage,delete_offline_data_api_offline_storage_data__dataId__delete,/api/offline-storage/data/{dataId},DELETE,TBD,RW,TBD,backend-unknown,unmapped
Offline Storage,resolve_offline_storage_conflicts_api_offline_storage_resolve_conflicts_post,/api/offline-storage/resolve-conflicts,POST,TBD,RW,TBD,backend-unknown,unmapped
Offline Storage,sync_offline_storage_api_offline_storage_sync_post,/api/offline-storage/sync,POST,TBD,RW,TBD,backend-unknown,unmapped
Parental Control,get_parental_app_blocks_api_parental_control_app_blocks_get,/api/parental-control/app-blocks,GET,TBD,RO,TBD,parental-team,unmapped
Parental Control,sync_app_blocks_api_parental_control_app_blocks_sync_post,/api/parental-control/app-blocks/sync,POST,TBD,RW,TBD,parental-team,unmapped
Parental Control,update_app_blocks_api_parental_control_app_blocks_update_post,/api/parental-control/app-blocks/update,POST,TBD,RW,TBD,parental-team,unmapped
Parental Control,get_app_blocks_api_parental_control_app_blocks__childId__get,/api/parental-control/app-blocks/{childId},GET,TBD,RO,TBD,parental-team,unmapped
Parental Control,get_dns_config_api_parental_control_dns_config_get,/api/parental-control/dns-config,GET,TBD,RO,TBD,parental-team,unmapped
Parental Control,get_parental_geofences_api_parental_control_geofences_get,/api/parental-control/geofences,GET,TBD,RO,TBD,parental-team,unmapped
Parental Control,add_geofence_api_parental_control_geofences_add_post,/api/parental-control/geofences/add,POST,TBD,RW,TBD,parental-team,unmapped
Parental Control,update_geofence_api_parental_control_geofences_update_post,/api/parental-control/geofences/update,POST,TBD,RW,TBD,parental-team,unmapped
Parental Control,get_geofences_api_parental_control_geofences__childId__get,/api/parental-control/geofences/{childId},GET,TBD,RO,TBD,parental-team,unmapped
Parental Control,delete_geofence_api_parental_control_geofences__geofenceId__delete,/api/parental-control/geofences/{geofenceId},DELETE,TBD,RW,TBD,parental-team,unmapped
